3x3 Blindfolded,"Oct 25, 2008",54.06,Ville Seppänen,Finland,Tampere Open 2008
3x3 Blindfolded,"Jun 07, 2008",54.22,Rafał Guzewicz,Poland,Polish Open 2008
3x3 Blindfolded,"Mar 22, 2008",1:00.62,Alexander Yu,United States,Princeton Open 2008
3x3 Blindfolded,"Dec 15, 2007",1:10.27,Danyang Chen (陈丹阳),China,Beijing Open 2007
3x3 Blindfolded,"May 19, 2007",1:15.60,Chris Krueger,United States,Canadian Open 2007
3x3 Blindfolded,"Mar 11, 2006",1:28.82,Leyan Lo,United States,Chattahoochee Spring competition 2006
3x3 Blindfolded,"Nov 05, 2005",1:46.47,Leyan Lo,United States,Rubik's World Championship 2005
3x3 Blindfolded,"Sep 17, 2005",1:58.32,Tyson Mao (毛台勝),United States,Northern California Fall Open 2005
3x3 Blindfolded,"Aug 13, 2005",2:18.58,Shotaro Makisumi (牧角章太郎),Japan,Caltech Dallas Summer competition 2005
3x3 Blindfolded,"Apr 16, 2005",2:41.54,Leyan Lo,United States,Caltech Spring competition 2005
3x3 Blindfolded,"Jan 15, 2005",2:57.97,Shotaro Makisumi (牧角章太郎),Japan,Caltech Winter competition 2005
3x3 Blindfolded,"Oct 16, 2004",3:10.54,Shotaro Makisumi (牧角章太郎),Japan,Caltech Fall competition 2004
3x3 Blindfolded,"Jul 10, 2004",3:36.85,Shotaro Makisumi (牧角章太郎),Japan,US Nationals 2004
3x3 Blindfolded,"Aug 23, 2003",3:56.00,Dror Vomberg,Israel,World Rubik's Games Championship 2003
3x3 FMC,"Jun 15, 2019",16,Sebastiano Tronto,Italy,FMC 2019
3x3 FMC,"Jun 08, 2019",17,Mark Boyanowski,United States,Mental Breakdown Minnesota 2019
3x3 FMC,"Jan 19, 2019",17,Harry Savage,United Kingdom,The Great British Blind Off 2019
3x3 FMC,"Oct 26, 2018",18,Chad Batten,United States,GA Cubers Mountain Trip 2018
3x3 FMC,"Oct 26, 2018",19,Kacper Rafalski,Poland,Polish Championship 2018
3x3 FMC,"Oct 26, 2018",19,Szymon Jeziorski,Poland,Polish Championship 2018
3x3 FMC,"Apr 30, 2018",19,Baiqiang Dong (董百强),China,Beijing Open 2018
3x3 FMC,"Aug 27, 2016",19,Uladzislau Ushakov (Владислав Ушаков),Belarus,PSU Open 2016
3x3 FMC,"Jan 09, 2016",19,Marcel Peters,Germany,Cubelonia 2016
3x3 FMC,"Oct 11, 2015",19,Tim Wong,United States,Irvine Fall 2015
3x3 FMC,"Jul 10, 2015",20,Rami Sbahi,United States,Michigan 2015
3x3 FMC,"Jul 13, 2012",20,Tomoaki Okayama (岡山友昭),Japan,Czech Open 2012
3x3 FMC,"Jul 16, 2010",22,István Kocza,Hungary,Czech Open 2010
3x3 FMC,"Apr 24, 2009",22,Jimmy Coll,Belgium,Barcelona Open 2009
3x3 FMC,"Aug 23, 2008",27,Guus Razoux Schultz,Netherlands,Dutch Masters 2008
3x3 FMC,"Sep 16, 2006",28,Zbigniew Zborowski,Poland,Polish Open 2006
3x3 FMC,"Jan 15, 2005",28,Mirek Goljan,Czech Republic,Caltech Winter competition 2005
3x3 FMC,"Aug 23, 2003",29,Mirek Goljan,Czech Republic,World Rubik's Games Championship 2003
3x3 OH,"Oct 12, 2019",6.82,Max Park,United States,Bay Area Speedcubin' 20 2019
3x3 OH,"May 09, 2015",6.88,Feliks Zemdegs,Australia,Canberra Autumn 2015
3x3 OH,"May 02, 2015",8.27,Haixin Yang (杨海鑫),China,Chengdu Open 2015
3x3 OH,"Nov 22, 2014",8.75,Antoine Cantin,Canada,Toronto Open Fall 2014
3x3 OH,"Jan 11, 2014",9.03,Feliks Zemdegs,Australia,Lifestyle Seasons Summer 2014
3x3 OH,"Nov 16, 2013",9.05,Feliks Zemdegs,Australia,Melbourne Cube Day 2013
3x3 OH,"Dec 08, 2012",9.43,Giovanni Contardi,Italy,Italian Championship 2012
3x3 OH,"Dec 17, 2011",9.53,Michał Pleskowicz,Poland,Kociewie Open 2011
3x3 OH,"Jul 23, 2011",10.68,Piotr Tomczyk,Poland,Swierklany Open 2011
3x3 OH,"May 07, 2011",11.16,Feliks Zemdegs,Australia,Kubaroo Open 2011
3x3 OH,"Aug 28, 2010",11.19,Piotr Alexandrowicz,Poland,Polish Nationals 2010
3x3 OH,"Aug 14, 2010",11.69,Piti Pichedpan (ปิติ พิเชษฐพันธ์),Thailand,Hanoi Open 2010
3x3 OH,"Jan 16, 2010",11.97,Chris Dzoan,United States,Bayview Hills Open 2010
3x3 OH,"Sep 05, 2009",13.80,Gunnar Krig,Sweden,Swedish Open 2009
3x3 OH,"Sep 20, 2008",14.34,SeungWoon Lee (이승운),Republic of Korea,Seoul Cube Championship 2008
3x3 OH,"Aug 02, 2008",14.56,Yu Nakajima (中島悠),Japan,Tokyo Open 2008
3x3 OH,"May 24, 2008",14.80,Ryan Patricio,United States,San Diego Open 2008
3x3 OH,"Aug 09, 2007",15.81,Thibaut Jacquinot,France,Murcia Open 2007
3x3 OH,"Jun 16, 2007",16.36,Chris Dzoan,United States,US Open 2007
3x3 OH,"Jan 13, 2007",17.90,Dan Dzoan,United States,Caltech Winter competition 2007
3x3 OH,"Jan 07, 2007",19.34,JeongMin Yu (유정민),Republic of Korea,KCRC Championship 2007
3x3 OH,"Apr 15, 2006",20.09,Ryan Patricio,United States,Caltech Spring competition 2006
3x3 OH,"Oct 22, 2005",22.05,Ryan Patricio,United States,Caltech Fall competition 2005
3x3 OH,"May 28, 2005",23.76,Shotaro Makisumi (牧角章太郎),Japan,Horace Mann Spring competition 2005
3x3 OH,"Jul 10, 2004",25.95,Chris Hardwick,United States,US Nationals 2004
3x3 OH,"Jul 10, 2004",42.09,Chris Hardwick,United States,US Nationals 2004
3x3 OH,"Apr 03, 2004",43.31,Shotaro Makisumi (牧角章太郎),Japan,Caltech Spring competition 2004
3x3 OH,"Aug 23, 2003",44.98,Chris Hardwick,United States,World Rubik's Games Championship 2003
Clock,"Mar 23, 2019",3.29,Suen Ming Chi (孫銘志),Hong Kong,GDSY Open 2019
Clock,"Jul 21, 2018",3.40,Yunhao Lou (娄云皓),China,Shenzhen Open 2018
Clock,"Jun 20, 2015",3.73,Nathaniel Berg,Sweden,Danish Open Championships 2015
Clock,"Apr 04, 2015",4.80,Evan Liu,United States,Xi'an Cherry Blossom 2015
Clock,"Feb 22, 2015",5.25,Nathaniel Berg,Sweden,Generalforsamlingen 2015
Clock,"Dec 24, 2011",5.27,Sam Zhixiao Wang (王志骁),China,Shanghai Snowball Winter 2011
Clock,"Dec 24, 2011",5.65,Sam Zhixiao Wang (王志骁),China,Shanghai Snowball Winter 2011
Clock,"Oct 14, 2011",5.83,Javier Tirado Ortiz,Spain,World Rubik's Cube Championship 2011
Clock,"Jul 30, 2011",5.88,Sam Zhixiao Wang (王志骁),China,Guildford Summer Open 2011
Clock,"Aug 06, 2010",6.25,David Woner,United States,United States Rubik's Cube Championships 2010
